Country,first_seq,last_seq,variant,censure_date,duration,censored,mortality_rate,total_cases,total_deaths,growth_rate
Greece,2020-12-11,2021-09-03,ORF1a.S3675,2021-08-11,266,False,0.0231612906471177,80951.90941864777,1874.9507024844463,1809.3073004076516
Senegal,2020-12-11,2021-06-10,ORF1a.S3675,2021-08-11,181,True,0.027479091995221,2499.185667752443,68.67535287730728,153.30333293189915
Barbados,2020-12-12,2021-07-25,ORF1a.S3675,2021-08-12,225,True,0.0110471806674338,622.4578651685393,6.876404494382022,18.801926370641823
Bulgaria,2020-12-13,2021-09-30,ORF1a.S3675,2021-08-13,291,False,0.0415841899626017,48002.04325232598,1996.1260851977472,1103.6554240955338
South Korea,2020-12-14,2021-09-21,ORF1a.S3675,2021-08-14,281,False,0.0083132004275163,19358.20871797287,160.92866899020348,745.1669044764514
Dominica,2020-12-16,2021-04-01,ORF1a.S3675,2021-08-16,106,True,0.0,28.27586206896552,0.0,0.7877505437018748
Czech Republic,2020-12-16,2021-11-26,ORF1a.S3675,2021-08-16,345,False,0.0156197290053817,159372.408433288,2489.353830662969,2924.901591713847
Burkina Faso,2020-12-16,2021-04-23,ORF1a.S3675,2021-08-16,128,True,0.0117904920263018,1237.7387096774194,14.593548387096774,61.33424642218246
New Zealand,2020-12-16,2021-07-03,ORF1a.S3675,2021-08-16,199,True,0.0094476744186046,99.86090111883884,0.9434532809192622,6.616851421285533
Saint Lucia,2020-12-17,2021-07-26,ORF1a.S3675,2021-08-17,221,True,0.0159160788569361,969.5402843601896,15.43127962085308,26.193327450779307
Nigeria,2020-12-17,2021-09-06,ORF1a.S3675,2021-08-17,263,False,0.0130481392618306,14531.3767971246,189.607428115016,315.72427166419914
Finland,2020-12-18,2021-09-10,ORF1a.S3675,2021-08-18,266,False,0.0080724492937545,14011.243929708258,113.10505616499618,350.5027733681007
Turkey,2020-12-20,2021-10-11,ORF1a.S3675,2021-08-20,295,False,0.008878525614656,217581.0212250664,1931.798670209784,18738.890707348342
Jordan,2020-12-20,2021-11-01,ORF1a.S3675,2021-08-20,316,False,0.0127818879306456,70917.17829852267,906.4554253693326,1953.869349247596
Jamaica,2020-12-21,2021-07-18,ORF1a.S3675,2021-08-21,209,True,0.0225872689938398,7227.08,163.24,230.99277275480816
Oman,2020-12-22,2021-07-06,ORF1a.S3675,2021-08-22,196,True,0.0119866456059735,35027.08581138487,419.857264231096,727.3452184750228
Qatar,2020-12-22,2021-06-07,ORF1a.S3675,2021-08-22,167,True,0.0026005722172963,25711.489298694305,66.86458473549602,529.9336445452287
Chile,2020-12-22,2021-11-06,ORF1a.S3675,2021-08-22,319,False,0.0221730412475639,203198.2424049209,4505.523010276798,4005.229317669117
Poland,2020-12-22,2021-09-27,ORF1a.S3675,2021-08-22,279,False,0.0260265079701273,332577.12521284784,8655.821200034212,6766.370893123634
Estonia,2020-12-23,2021-07-28,ORF1a.S3675,2021-08-23,217,True,0.0095642293308049,15132.61075730306,144.73175965665237,582.6676867425083
Togo,2020-12-24,2021-06-30,ORF1a.S3675,2021-08-24,188,True,0.0092692390601422,1592.9744779582363,14.765661252900232,67.80742103485666
Bosnia and Herzegovina,2020-12-25,2021-07-05,ORF1a.S3675,2021-08-25,192,True,0.0471452886411408,12252.628509719225,577.6537077033837,636.9756022648364
Pakistan,2020-12-25,2021-08-25,ORF1a.S3675,2021-08-25,243,False,0.0222025217224316,113661.48404151163,2523.571568435481,2843.206182752396
Taiwan,2020-12-26,2021-07-28,ORF1a.S3675,2021-08-26,214,True,0.0503873487419168,2196.958241758242,110.6989010989011,77.72267139993724
Dominican Republic,2020-12-27,2021-10-15,ORF1a.S3675,2021-08-27,292,False,0.0110674294390369,38573.056603773584,426.9045822102426,667.3459350171411
Iraq,2020-12-27,2021-07-06,ORF1a.S3675,2021-08-27,191,True,0.0125158194454748,213962.2136602452,2677.9124343257445,4614.684773689066
Gabon,2020-12-28,2021-09-30,ORF1a.S3675,2021-08-28,276,False,0.0061681313215055,4986.259842519685,30.755905511811022,70.74183321683572
Cyprus,2020-12-28,2021-01-27,ORF1a.S3675,2021-08-28,30,True,0.0062196750138395,1306.7659574468084,8.127659574468085,344.0596774193546
Fiji,2020-12-28,2021-04-19,ORF1a.S3675,2021-08-28,112,True,0.0277777777777777,0.1894736842105263,0.0052631578947368,0.1922200412535764
Rwanda,2020-12-28,2021-08-01,ORF1a.S3675,2021-08-28,216,True,0.0115073024416225,3201.141979102643,36.83650891210817,196.7809955983972
Malaysia,2020-12-28,2021-11-05,ORF1a.S3675,2021-08-28,312,False,0.0116935927905128,49450.79207920792,578.2574257425742,7929.308103995881
Lebanon,2020-12-29,2021-07-14,ORF1a.S3675,2021-08-29,197,True,0.014355923435075,92691.09865092748,1330.6663153456998,1907.643086993188
China,2020-12-31,2021-06-15,ORF1a.S3675,2021-08-31,166,True,0.0429065989038718,164910.6380368098,7075.754601226994,1719.655642243912
